,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
386,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
387,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
388,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
389,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
390,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
391,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
392,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
393,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
394,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
395,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
396,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
397,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
398,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
399,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
400,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
401,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
402,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
403,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
404,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
405,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
406,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
407,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
408,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
409,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
410,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
411,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
412,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
413,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
414,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
415,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
416,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
417,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
418,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
419,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
420,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
421,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
422,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
423,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
424,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
425,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
426,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
427,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
428,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
429,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
430,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
431,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
432,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
433,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
434,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
435,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
436,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
437,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
438,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
439,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
440,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
441,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
442,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
443,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
444,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
445,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
446,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
447,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
448,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
449,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
450,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
451,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
452,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
453,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
454,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
455,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
456,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
457,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
458,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
459,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
460,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
461,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
462,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
463,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
464,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
465,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
466,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
467,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
468,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
469,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
470,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
471,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
472,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
473,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
474,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
475,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
476,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
477,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
478,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
479,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
480,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
481,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
482,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
483,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
484,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
485,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
486,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
487,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
488,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
489,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
490,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
491,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
492,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
493,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
494,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
495,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
496,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
497,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
498,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
499,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
500,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
501,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
502,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
503,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
504,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
505,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
506,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
507,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
508,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
509,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
510,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
511,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
512,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
513,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
514,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
515,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
516,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
517,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
518,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
519,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
520,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
521,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
522,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
